tempo,porta_origem,porta_destino,cwnd,srtt,retrans,ssthresh,packets_out,ca_name,ca_state
2026-07-13 02:31:59.723914,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:31:59.723914,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:31:59.723914,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:31:59.723914,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:31:59.723914,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:31:59.723914,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:31:59.723914,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:31:59.723914,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:31:59.723914,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:31:59.723914,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:31:59.723914,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:31:59.723914,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:31:59.723914,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:31:59.723914,47562,5202,10,51,0,,2,cubic,0
2026-07-13 02:31:59.723914,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:31:59.723914,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:31:59.723914,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:31:59.723914,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:31:59.723914,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:31:59.723914,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:31:59.723914,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:31:59.723914,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:31:59.723914,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:31:59.723914,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:31:59.723914,47574,5202,99,27,25,73.0,1,cubic,0
2026-07-13 02:31:59.723914,46296,5202,10,200407,0,,2,cubic,0
